1,"Engage Deo Frost",y
2,"B Natural Guava",n
2,"B Natural Pineapple Poise",y
3,"Engage Deo Frost",n
4,"B Natural Mango Magic",y
1,"Engage Deo Frost",y
2,"B Natural Guava",n
2,"B Natural Pineapple Poise",y
3,"Engage Deo Frost",n
4,"B Natural Mango Magic",y
1,"Engage Deo Frost",y
2,"B Natural Guava",n
,,
2,"B Natural Pineapple Poise",y
3,"Engage Deo Frost",n
4,"B Natural Mango Magic",y
,,
2,"Apple iphone",y
1,"Moto G",n
,,
2,"MacBook Air",y
,,
,,
1,"Engage Deo Frost",y
2,"B Natural Guava",n
,,
2,"B Natural Pineapple Poise",y
3,"Engage Deo Frost",n
4,"B Natural Mango Magic",y
,,
2,"Apple iphone",y
1,"Moto G",n
,,
2,"MacBook Air",y
,,
,,
